year,count
"200808","14"
"200809","54"
"200810","68"
"200811","75"
"200812","84"
"200901","147"
"200902","142"
"200903","201"
"200904","208"
"200905","287"
"200906","300"
"200907","392"
"200908","374"
"200909","412"
"200910","418"
"200911","448"
"200912","569"
"201001","668"
"201002","705"
"201003","649"
"201004","591"
"201005","592"
"201006","687"
"201007","717"
"201008","752"
"201009","721"
"201010","683"
"201011","826"
"201012","786"
"201101","934"
"201102","1012"
"201103","1141"
"201104","1039"
"201105","1215"
"201106","1171"
"201107","1122"
"201108","1106"
"201109","1022"
"201110","958"
"201111","1104"
"201112","996"
"201201","1220"
"201202","1193"
"201203","1374"
"201204","1353"
"201205","1375"
"201206","1285"
"201207","1471"
"201208","1617"
"201209","1375"
"201210","1481"
"201211","1391"
"201212","1259"
"201301","1497"
"201302","1612"
"201303","1762"
"201304","1711"
"201305","1736"
"201306","1725"
"201307","1839"
"201308","1896"
"201309","1573"
"201310","1735"
"201311","1765"
"201312","1542"
"201401","1917"
"201402","1719"
"201403","2103"
"201404","1820"
"201405","1701"
"201406","1708"
"201407","1798"
"201408","1657"
"201409","1640"
"201410","1673"
"201411","1665"
"201412","1632"
"201501","1794"
"201502","1685"
"201503","1825"
"201504","1756"
"201505","1919"
"201506","1993"
"201507","2190"
"201508","1939"
"201509","1942"
"201510","1984"
"201511","1824"
"201512","1944"
"201601","2044"
"201602","2018"
"201603","2175"
"201604","2002"
"201605","2008"
"201606","1896"
"201607","1914"
"201608","2032"
"201609","1884"
"201610","1841"
"201611","1777"
"201612","1675"
"201701","1977"
"201702","2144"
"201703","2313"
"201704","2014"
"201705","2248"
"201706","2082"
"201707","2253"
"201708","2344"
"201709","2324"
"201710","2099"
"201711","2118"
"201712","1956"
"201801","2250"
"201802","2136"
"201803","2271"
"201804","2225"
"201805","2495"
"201806","2365"
"201807","2402"
"201808","2422"
"201809","2149"
"201810","2096"
"201811","2051"
"201812","1945"
"201901","2256"
"201902","2292"
"201903","2561"
"201904","2532"
"201905","2440"
"201906","2083"
"201907","2431"
"201908","2298"
"201909","2321"
"201910","2398"
"201911","2438"
"201912","2313"
"202001","2563"
"202002","2534"
"202003","2909"
"202004","3365"
"202005","3562"
"202006","3201"
"202007","3518"
"202008","2995"
"202009","2631"
"202010","2641"
"202011","2421"
"202012","2961"
"202101","3381"
"202102","3000"
"202103","3332"
"202104","3157"
"202105","3366"
"202106","3170"
"202107","3177"
"202108","3082"
"202109","2725"
"202110","2610"
"202111","2636"
"202112","1012"